!CSV A.01.01
!Keysight Technologies,N5227A,US51270324,A.10.65.16
!Date: Monday, October 27, 2025 03:06:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
2300000000,-0.54141861,-0.75192696
2300300000,-0.54482931,-0.74997795
2300600000,-0.54828066,-0.74776322
2300900000,-0.5519467,-0.74553949
2301200000,-0.5561679,-0.74462676
2301500000,-0.55919725,-0.74231529
2301800000,-0.56277448,-0.74063116
2302100000,-0.5666666,-0.73898953
2302400000,-0.57001787,-0.73700809
2302700000,-0.57349283,-0.7353797
2303000000,-0.57732064,-0.73318011
2303300000,-0.5806489,-0.73090011
2303600000,-0.58395022,-0.72887433
2303900000,-0.58785993,-0.7274822
2304200000,-0.59098381,-0.72482711
2304500000,-0.59438717,-0.72345775
2304800000,-0.59767896,-0.7214523
2305100000,-0.60115457,-0.71907067
2305400000,-0.60442817,-0.7169804
2305700000,-0.60740119,-0.7146678
2306000000,-0.61133903,-0.71232665
2306300000,-0.61487108,-0.71040714
2306600000,-0.61825311,-0.70835221
2306900000,-0.62157273,-0.70656997
2307200000,-0.62485516,-0.70432425
2307500000,-0.62810266,-0.70232356
2307800000,-0.63136256,-0.69971567
2308100000,-0.63473958,-0.69780809
2308400000,-0.63823712,-0.69557422
2308700000,-0.64167017,-0.6931631
2309000000,-0.64473176,-0.69107598
2309300000,-0.64833522,-0.68917787
2309600000,-0.6511935,-0.68624514
2309900000,-0.65484065,-0.68410003
2310200000,-0.65796548,-0.68181884
2310500000,-0.66137779,-0.67960697
2310800000,-0.66400123,-0.67703873
2311100000,-0.66741246,-0.67510474
2311400000,-0.67072392,-0.67211819
2311700000,-0.67371756,-0.6700691
2312000000,-0.67670965,-0.66725379
2312300000,-0.68020457,-0.66523004
2312600000,-0.68320864,-0.66210955
2312900000,-0.68661863,-0.65995151
2313200000,-0.68920964,-0.65753436
2313500000,-0.69227767,-0.65455174
2313800000,-0.69576323,-0.65219885
2314100000,-0.69854677,-0.64974219
2314400000,-0.70182872,-0.64682603
2314700000,-0.70491779,-0.64474088
2315000000,-0.70779133,-0.64199406
2315300000,-0.71026832,-0.63912225
2315600000,-0.71371531,-0.63660038
2315900000,-0.71657401,-0.63416892
2316200000,-0.71920466,-0.63147336
2316500000,-0.72212261,-0.62856901
2316800000,-0.72491992,-0.62542653
2317100000,-0.72809035,-0.623182
2317400000,-0.7311492,-0.62073392
2317700000,-0.73398143,-0.61774808
2318000000,-0.73622751,-0.61489922
2318300000,-0.73963618,-0.6125142
2318600000,-0.74217182,-0.60987884
2318900000,-0.74514502,-0.60651273
2319200000,-0.74777782,-0.60418534
2319500000,-0.75033736,-0.60117269
2319800000,-0.75309443,-0.59843552
2320100000,-0.75615209,-0.59548926
2320400000,-0.75855583,-0.59280115
2320700000,-0.76071972,-0.58974409
2321000000,-0.76325172,-0.5866437
2321300000,-0.76632226,-0.58373278
2321600000,-0.76923537,-0.58115482
2321900000,-0.77163458,-0.57827294
2322200000,-0.77360374,-0.57471764
2322500000,-0.77670473,-0.57222593
2322800000,-0.77920103,-0.56936967
2323100000,-0.78167945,-0.56617802
2323400000,-0.78443563,-0.56380481
2323700000,-0.78680766,-0.5604955
2324000000,-0.78918582,-0.55703306
2324300000,-0.79152763,-0.55404186
2324600000,-0.79369348,-0.55096251
2324900000,-0.79579771,-0.547876
2325200000,-0.7982378,-0.54468125
2325500000,-0.80063522,-0.5423277
2325800000,-0.80282235,-0.53872627
2326100000,-0.80550885,-0.5355984
2326400000,-0.80771005,-0.53256273
2326700000,-0.81007719,-0.52948111
2327000000,-0.81195962,-0.5261324
2327300000,-0.81397527,-0.52324766
2327600000,-0.81660765,-0.52014005
2327900000,-0.81887645,-0.51694322
2328200000,-0.8201896,-0.51368892
2328500000,-0.82332551,-0.51050478
2328800000,-0.82558084,-0.50737816
2329100000,-0.82763326,-0.50426859
