!CSV A.01.01
!Keysight Technologies,N5227A,US51270324,A.10.65.16
!Date: Monday, October 27, 2025 03:01:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
2300000000,-0.54798734,-0.69887555
2300200000,-0.54848313,-0.69875431
2300400000,-0.54960221,-0.69846737
2300600000,-0.55035448,-0.69806981
2300800000,-0.55142403,-0.69803584
2301000000,-0.55226713,-0.69817698
2301200000,-0.55285829,-0.69802701
2301400000,-0.55379039,-0.69778019
2301600000,-0.55498874,-0.69775385
2301800000,-0.55561924,-0.69794571
2302000000,-0.55595839,-0.69781721
2302200000,-0.55696827,-0.69745666
2302400000,-0.55759865,-0.69682306
2302600000,-0.55863601,-0.69711518
2302800000,-0.55943173,-0.69671094
2303000000,-0.56007814,-0.69688147
2303200000,-0.5609234,-0.69690967
2303400000,-0.56116176,-0.69640213
2303600000,-0.56210184,-0.69616562
2303800000,-0.56276619,-0.69590431
2304000000,-0.563398,-0.69572514
2304200000,-0.56470317,-0.69605541
2304400000,-0.56538624,-0.69570798
2304600000,-0.56612784,-0.69565535
2304800000,-0.56687641,-0.69536805
2305000000,-0.56769228,-0.69560868
2305200000,-0.5679462,-0.69522387
2305400000,-0.56879532,-0.69461584
2305600000,-0.57001156,-0.69485569
2305800000,-0.57056457,-0.6949029
2306000000,-0.57085115,-0.6945824
2306200000,-0.57216698,-0.69464874
2306400000,-0.57295442,-0.69427311
2306600000,-0.57367808,-0.6943689
2306800000,-0.57438415,-0.69388628
2307000000,-0.57533479,-0.69406205
2307200000,-0.57590765,-0.69369179
2307400000,-0.57611728,-0.69377184
2307600000,-0.57704276,-0.69278014
2307800000,-0.57782227,-0.69293821
2308000000,-0.57848883,-0.69265085
2308200000,-0.57929724,-0.69287068
2308400000,-0.57974726,-0.69156784
2308600000,-0.58029854,-0.69169557
2308800000,-0.5808295,-0.692047
2309000000,-0.58192182,-0.69165266
2309200000,-0.58255357,-0.69159216
2309400000,-0.58331174,-0.69121045
2309600000,-0.58373976,-0.69095552
2309800000,-0.58430827,-0.69118798
2310000000,-0.58541054,-0.69066626
2310200000,-0.58582568,-0.69028616
2310400000,-0.58641618,-0.69035417
2310600000,-0.58722979,-0.69005436
2310800000,-0.58761805,-0.68998575
2311000000,-0.58802152,-0.68969053
2311200000,-0.58857065,-0.68870479
2311400000,-0.58943087,-0.68874305
2311600000,-0.58984119,-0.68888295
2311800000,-0.59087265,-0.68858588
2312000000,-0.59147227,-0.68848234
2312200000,-0.59234184,-0.68817371
2312400000,-0.59267318,-0.68792772
2312600000,-0.59333563,-0.68764406
2312800000,-0.59388298,-0.68754929
2313000000,-0.59428096,-0.68686259
2313200000,-0.59493786,-0.68671173
2313400000,-0.59596521,-0.68652791
2313600000,-0.59642476,-0.68675244
2313800000,-0.59666616,-0.68606991
2314000000,-0.5972631,-0.68609238
2314200000,-0.59780145,-0.68546414
2314400000,-0.59819627,-0.68510783
2314600000,-0.59871513,-0.68510169
2314800000,-0.5988732,-0.68475735
2315000000,-0.59990072,-0.68422574
2315200000,-0.60045844,-0.68429279
2315400000,-0.60118836,-0.68436301
2315600000,-0.60204768,-0.68396801
2315800000,-0.60213071,-0.68338042
2316000000,-0.60252571,-0.68283606
2316200000,-0.60316133,-0.68251961
2316400000,-0.60394174,-0.68218434
2316600000,-0.60396409,-0.68117821
2316800000,-0.60446846,-0.68088847
2317000000,-0.60502583,-0.68134582
2317200000,-0.60552317,-0.68081063
2317400000,-0.6060698,-0.68019009
2317600000,-0.60664707,-0.67985386
2317800000,-0.60723037,-0.6794374
2318000000,-0.60753053,-0.67926252
2318200000,-0.6079188,-0.67843467
2318400000,-0.6085127,-0.67859465
2318600000,-0.60878688,-0.67819542
2318800000,-0.60848182,-0.67777514
2319000000,-0.60979319,-0.67775673
2319200000,-0.61019236,-0.67722166
2319400000,-0.61039567,-0.67707986
2319600000,-0.61097044,-0.67644376
2319800000,-0.61163235,-0.67620641
2320000000,-0.61216682,-0.67620027
2320200000,-0.61278814,-0.67583501
2320400000,-0.61255908,-0.67515558
2320600000,-0.61303443,-0.67504835
2320800000,-0.61345792,-0.67487329
2321000000,-0.61385083,-0.67414564
2321200000,-0.61410254,-0.6738137
2321400000,-0.61428159,-0.673168
2321600000,-0.61500901,-0.67313099
2321800000,-0.61527133,-0.67217833
2322000000,-0.61558199,-0.67223495
2322200000,-0.61612868,-0.67162347
2322400000,-0.61636955,-0.67102748
2322600000,-0.61638558,-0.67111516
2322800000,-0.61711252,-0.67067206
2323000000,-0.61727905,-0.67026353
2323200000,-0.61773092,-0.66975659
2323400000,-0.61795181,-0.66892111
2323600000,-0.61847937,-0.66889489
2323800000,-0.61907065,-0.66904581
2324000000,-0.61918062,-0.66805011
2324200000,-0.61933368,-0.66791224
