!CSV A.01.01
!Keysight Technologies,N5227A,US51270324,A.10.65.16
!Date: Friday, November 07, 2025 00:22:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
2300000000,0.67738825,-0.029485174
2300200000,0.67627531,-0.031352799
2300400000,0.67587292,-0.03224434
2300600000,0.67482173,-0.033760633
2300800000,0.67400014,-0.035305366
2301000000,0.67324215,-0.036381468
2301200000,0.67282468,-0.037910115
2301400000,0.67192918,-0.03947974
2301600000,0.67109704,-0.040845603
2301800000,0.67044401,-0.041915379
2302000000,0.66964161,-0.043291196
2302200000,0.66871852,-0.044966608
2302400000,0.66818887,-0.046399616
2302600000,0.66740757,-0.04766598
2302800000,0.66683739,-0.049263459
2303000000,0.66579497,-0.05052207
2303200000,0.66469103,-0.051958166
2303400000,0.66410661,-0.053523008
2303600000,0.66329402,-0.054512966
2303800000,0.66213083,-0.056227617
2304000000,0.6615997,-0.057507269
2304200000,0.6608426,-0.058786932
2304400000,0.65953177,-0.060286574
2304600000,0.65875423,-0.06146178
2304800000,0.65846199,-0.06270469
2305000000,0.65764928,-0.064095117
2305200000,0.65621912,-0.065532997
2305400000,0.65542978,-0.067011051
2305600000,0.65487754,-0.068288475
2305800000,0.65416461,-0.069749027
2306000000,0.65308815,-0.071158074
2306200000,0.65234375,-0.072415844
2306400000,0.6515137,-0.073980562
2306600000,0.6504302,-0.075065844
2306800000,0.64932084,-0.076338723
2307000000,0.64835948,-0.07807596
2307200000,0.64773381,-0.079081796
2307400000,0.64673781,-0.080580726
2307600000,0.6461758,-0.081837304
2307800000,0.64491451,-0.083190069
2308000000,0.64420974,-0.084593944
2308200000,0.64304429,-0.085775226
2308400000,0.6424678,-0.087164976
2308600000,0.64130056,-0.088596992
2308800000,0.64051992,-0.089669026
2309000000,0.63953376,-0.091364004
2309200000,0.63849264,-0.092678234
2309400000,0.6372754,-0.093940698
2309600000,0.63688499,-0.095429964
2309800000,0.63549423,-0.096709356
2310000000,0.63491464,-0.098022714
2310200000,0.63366896,-0.099059135
2310400000,0.63257849,-0.10050771
2310600000,0.63200909,-0.10187492
2310800000,0.63121861,-0.10332634
2311000000,0.63009006,-0.10442481
2311200000,0.62923533,-0.10556134
2311400000,0.62825036,-0.10698374
2311600000,0.62716275,-0.10833692
2311800000,0.62634015,-0.10964052
2312000000,0.62541181,-0.11102751
2312200000,0.62416863,-0.11258496
2312400000,0.62321085,-0.11334661
2312600000,0.62240648,-0.11482286
2312800000,0.62133932,-0.11593134
2313000000,0.62041849,-0.11739495
2313200000,0.61913484,-0.1186434
2313400000,0.61792636,-0.12000959
2313600000,0.61692446,-0.12120838
2313800000,0.61632383,-0.12238309
2314000000,0.61523366,-0.12378709
2314200000,0.61438793,-0.12522407
2314400000,0.61327779,-0.12633952
2314600000,0.61236143,-0.12746705
2314800000,0.6117605,-0.12895265
2315000000,0.61016631,-0.1300811
2315200000,0.60964036,-0.131263
2315400000,0.60853422,-0.13266273
2315600000,0.60732388,-0.13389315
2315800000,0.60628998,-0.13521492
2316000000,0.60526842,-0.13652824
2316200000,0.60425341,-0.13769633
2316400000,0.60315925,-0.13900791
2316600000,0.6025185,-0.1402721
2316800000,0.60111475,-0.1415703
2317000000,0.60023081,-0.14271507
2317200000,0.59884584,-0.14413847
2317400000,0.59806603,-0.14531451
2317600000,0.59693307,-0.14650208
2317800000,0.59587967,-0.14807011
2318000000,0.59479684,-0.14868642
2318200000,0.59390134,-0.15021233
2318400000,0.59308916,-0.15147257
2318600000,0.59203392,-0.15303446
2318800000,0.59049153,-0.15390995
2319000000,0.58955294,-0.15502438
2319200000,0.58873826,-0.15649924
2319400000,0.58754885,-0.15758729
2319600000,0.58649343,-0.15908115
2319800000,0.58550555,-0.16018233
2320000000,0.5845803,-0.16159056
2320200000,0.58322626,-0.16233438
2320400000,0.58219755,-0.16380879
2320600000,0.58094394,-0.16505952
2320800000,0.58030885,-0.1665777
2321000000,0.57886195,-0.16765504
2321200000,0.57774299,-0.16860028
2321400000,0.57689863,-0.16979952
2321600000,0.57577008,-0.17087615
2321800000,0.57474244,-0.17209284
2322000000,0.57381737,-0.17323209
2322200000,0.57292849,-0.17485222
2322400000,0.57147098,-0.17607409
2322600000,0.57061249,-0.17677324
2322800000,0.56961405,-0.17826156
2323000000,0.56804508,-0.17954977
2323200000,0.56714994,-0.1801776
2323400000,0.56599534,-0.18195747
2323600000,0.56494582,-0.18281841
2323800000,0.56388271,-0.18389191
2324000000,0.56274438,-0.18526644
2324200000,0.56149554,-0.18657975
2324400000,0.56056046,-0.18754682
2324600000,0.55957681,-0.18872908
2324800000,0.55814123,-0.19000581
2325000000,0.55660826,-0.19130407
2325200000,0.55589443,-0.19210581
2325400000,0.55469859,-0.1934415
2325600000,0.5535745,-0.1942779
2325800000,0.55262297,-0.19569935
2326000000,0.55167431,-0.19686918
2326200000,0.55033571,-0.19797465
2326400000,0.54931378,-0.19916426
2326600000,0.54832017,-0.20024703
2326800000,0.54709858,-0.20141406
2327000000,0.546193,-0.20251669
2327200000,0.54507035,-0.20367709
2327400000,0.54381979,-0.20471883
2327600000,0.54237765,-0.20582272
2327800000,0.54145497,-0.20701301
2328000000,0.54023588,-0.20807992
2328200000,0.53905582,-0.20900385
2328400000,0.53798926,-0.21031389
2328600000,0.53704137,-0.21161954
2328800000,0.53573966,-0.21255264
2329000000,0.53451955,-0.21357372
2329200000,0.53336662,-0.21474123
2329400000,0.53225785,-0.21587318
2329600000,0.53157252,-0.21717528
2329800000,0.5302856,-0.21821916
2330000000,0.52895916,-0.21930893
2330200000,0.52794594,-0.22018541
2330400000,0.52667379,-0.22121093
2330600000,0.52550471,-0.22236787
2330800000,0.52455115,-0.22339669
2331000000,0.52325851,-0.22468016
2331200000,0.52228731,-0.22590818
2331400000,0.52116215,-0.22672777
2331600000,0.51958895,-0.22782969
2331800000,0.51853627,-0.22900061
2332000000,0.51719224,-0.22982781
2332200000,0.51642007,-0.23109238
2332400000,0.5149675,-0.23222513
2332600000,0.51391453,-0.2331752
2332800000,0.51266205,-0.23428819
2333000000,0.51171553,-0.23518439
2333200000,0.51026964,-0.2365524
2333400000,0.50924265,-0.23739474
2333600000,0.50791103,-0.23857756
2333800000,0.50675571,-0.23952132
2334000000,0.50580251,-0.24065921
2334200000,0.50461912,-0.2416217
2334400000,0.50333375,-0.24280822
2334600000,0.50227916,-0.24381533
2334800000,0.50109565,-0.24481557
2335000000,0.49969363,-0.2454737
2335200000,0.49868539,-0.24684335
2335400000,0.4974156,-0.24803974
2335600000,0.4958213,-0.24884765
2335800000,0.49476355,-0.24955323
2336000000,0.49383432,-0.25070205
2336200000,0.49258336,-0.25172821
2336400000,0.49112901,-0.2529414
2336600000,0.49028403,-0.25398394
2336800000,0.48910972,-0.2549623
2337000000,0.48766181,-0.25578997
2337200000,0.48658204,-0.25685108
2337400000,0.48523256,-0.25769755
2337600000,0.48428029,-0.25876644
2337800000,0.48299572,-0.25972322
2338000000,0.48185486,-0.26049334
2338200000,0.48047543,-0.26166537
2338400000,0.47891793,-0.26250583
