!CSV A.01.01
!Keysight Technologies,N5227A,US51270324,A.10.65.16
!Date: Friday, November 07, 2025 00:15:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
2300000000,0.71037948,0.26429778
2300200000,0.71000314,0.26259688
2300400000,0.70974737,0.261951
2300600000,0.70967722,0.26027897
2300800000,0.70949119,0.25889507
2301000000,0.70927858,0.25806499
2301200000,0.70921373,0.25704035
2301400000,0.7092517,0.25537744
2301600000,0.70848936,0.25400403
2301800000,0.70841825,0.25301677
2302000000,0.70820677,0.25151202
2302200000,0.7083016,0.25018808
2302400000,0.70813167,0.24889626
2302600000,0.70791018,0.24757566
2302800000,0.70754713,0.2464554
2303000000,0.70731616,0.2450794
2303200000,0.70694864,0.24389262
2303400000,0.70708418,0.2426206
2303600000,0.70719624,0.24131249
2303800000,0.70667362,0.23994754
2304000000,0.70672911,0.23888095
2304200000,0.7063607,0.23777078
2304400000,0.70577872,0.23642552
2304600000,0.70534176,0.23491901
2304800000,0.70572072,0.23400842
2305000000,0.70603973,0.23295829
2305200000,0.7051037,0.231261
2305400000,0.70509481,0.23024513
2305600000,0.70460105,0.22889715
2305800000,0.70427656,0.22762726
2306000000,0.70450699,0.22628407
2306200000,0.70425516,0.22511122
2306400000,0.70402843,0.22371471
2306600000,0.7033124,0.22247347
2306800000,0.7033034,0.22116333
2307000000,0.70326221,0.21985497
2307200000,0.70285463,0.21897851
2307400000,0.7025553,0.21759832
2307600000,0.70222431,0.21603715
2307800000,0.70232654,0.21494007
2308000000,0.70204693,0.21380624
2308200000,0.70192546,0.21243611
2308400000,0.70161229,0.21129946
2308600000,0.70138341,0.20986769
2308800000,0.70118815,0.20889962
2309000000,0.70068729,0.20740566
2309200000,0.700441,0.20606816
2309400000,0.70032883,0.20484374
2309600000,0.70031691,0.20372899
2309800000,0.69973779,0.20224573
2310000000,0.6997816,0.20093238
2310200000,0.69933206,0.19986193
2310400000,0.69889462,0.19852413
2310600000,0.69886398,0.19731486
2310800000,0.69882643,0.19607359
2311000000,0.6982941,0.19467546
2311200000,0.6982981,0.19359051
2311400000,0.69773316,0.1920592
2311600000,0.69745517,0.19071878
2311800000,0.6975497,0.18957438
2312000000,0.69717735,0.18844105
2312200000,0.69674826,0.18687655
2312400000,0.69659734,0.18570833
2312600000,0.69677645,0.18436873
2312800000,0.69591022,0.18312214
2313000000,0.69596708,0.18173298
2313200000,0.6955719,0.18051665
2313400000,0.69476658,0.17947336
2313600000,0.69466799,0.17813361
2313800000,0.69465935,0.17702208
2314000000,0.69430619,0.17549543
2314200000,0.69441658,0.17409696
2314400000,0.69386649,0.17269781
2314600000,0.69337088,0.17161745
2314800000,0.69321489,0.17019416
2315000000,0.69309092,0.16870086
2315200000,0.6929369,0.16791818
2315400000,0.69251853,0.16643949
2315600000,0.69188488,0.16509935
2315800000,0.69155973,0.16353737
2316000000,0.69139749,0.16255341
2316200000,0.69083923,0.16101246
2316400000,0.69032395,0.15960294
2316600000,0.69068176,0.1582475
2316800000,0.69028616,0.15723312
2317000000,0.68959278,0.15578541
2317200000,0.68928158,0.15419228
2317400000,0.68889558,0.15285774
2317600000,0.68837327,0.15158059
2317800000,0.68834239,0.15007535
2318000000,0.6878044,0.14928858
2318200000,0.68748671,0.14793107
2318400000,0.68739235,0.14653018
2318600000,0.68719208,0.1449402
2318800000,0.68609762,0.14355373
2319000000,0.68613219,0.14246994
