(0.036621094+0.05810547j);(0.037597656-0.03125j)
(0.03515625+0.061035156j);(0.047851562-0.028320312j)
(0.036132812+0.059570312j);(0.04638672-0.028808594j)
(0.024414062+0.05908203j);(0.043945312-0.026855469j)
(0.033203125+0.068359375j);(0.049316406-0.022949219j)
(0.019042969+0.057617188j);(0.04736328-0.023925781j)
(0.026855469+0.0703125j);(0.04736328-0.020019531j)
(0.015625+0.060058594j);(0.052246094-0.021484375j)
(0.018554688+0.07128906j);(0.04638672-0.015136719j)
(0.013671875+0.06201172j);(0.055664062-0.01953125j)
(0.0107421875+0.0703125j);(0.044921875-0.01171875j)
(0.012207031+0.064453125j);(0.05810547-0.015136719j)
(0.0029296875+0.06738281j);(0.045898438-0.0078125j)
(0.005859375+0.07128906j);(0.055664062-0.0107421875j)
(-0.0014648438+0.063964844j);(0.048339844-0.0063476562j)
(-0.0024414062+0.07080078j);(0.055664062-0.0053710938j)
(-0.00390625+0.06298828j);(0.048339844-0.0034179688j)
(-0.009765625+0.068359375j);(0.05419922-0.0014648438j)
(-0.0107421875+0.06738281j);(0.051757812-0.0014648438j)
(-0.014160156+0.06591797j);(0.047851562+0.00390625j)
(-0.0146484375+0.06542969j);(0.055664062+0.0014648438j)
(-0.020996094+0.06542969j);(0.048339844+0.0078125j)
(-0.018554688+0.06298828j);(0.052246094+0.0043945312j)
(-0.024902344+0.061035156j);(0.049316406+0.0126953125j)
(-0.024902344+0.06347656j);(0.05029297+0.0063476562j)
(-0.029785156+0.059570312j);(0.044921875+0.017089844j)
(-0.03173828+0.061035156j);(0.053710938+0.009765625j)
(-0.032226562+0.056152344j);(0.04248047+0.01953125j)
(-0.041015625+0.057617188j);(0.049804688+0.0146484375j)
(-0.03125+0.05517578j);(0.043945312+0.020507812j)
(-0.045410156+0.049804688j);(0.04736328+0.019042969j)
(-0.040039062+0.05859375j);(0.041503906+0.022460938j)
(-0.04736328+0.045410156j);(0.044433594+0.024902344j)
(-0.043945312+0.05029297j);(0.040039062+0.022949219j)
