(-0.01171875+0.04736328j);(-0.017578125-0.036132812j)
(-0.011230469+0.044921875j);(-0.01953125-0.03955078j)
(-0.013671875+0.04248047j);(-0.0146484375-0.041015625j)
(-0.017578125+0.04296875j);(-0.01171875-0.038085938j)
(-0.017578125+0.041992188j);(-0.015625-0.044433594j)
(-0.018554688+0.041992188j);(-0.005859375-0.040527344j)
(-0.021972656+0.040527344j);(-0.012207031-0.04638672j)
(-0.023925781+0.040039062j);(-0.0048828125-0.040527344j)
(-0.021972656+0.037597656j);(-0.005859375-0.045898438j)
(-0.026855469+0.041015625j);(-0.0073242188-0.044433594j)
(-0.026367188+0.033203125j);(0.0029296875-0.04296875j)
(-0.029296875+0.041015625j);(-0.005859375-0.04736328j)
(-0.03173828+0.030273438j);(0.0048828125-0.04345703j)
(-0.030273438+0.03466797j);(-0.00048828125-0.04736328j)
(-0.03564453+0.033691406j);(0.0053710938-0.045410156j)
(-0.030761719+0.026367188j);(0.0078125-0.046875j)
(-0.038085938+0.032714844j);(0.0043945312-0.045410156j)
(-0.034179688+0.024414062j);(0.011230469-0.047851562j)
(-0.03955078+0.025878906j);(0.0107421875-0.04638672j)
(-0.036621094+0.026367188j);(0.011230469-0.045898438j)
(-0.04248047+0.020996094j);(0.0146484375-0.04736328j)
(-0.038085938+0.021972656j);(0.016601562-0.04248047j)
(-0.04296875+0.018066406j);(0.014160156-0.049316406j)
(-0.04345703+0.020996094j);(0.021972656-0.041015625j)
(-0.041503906+0.010253906j);(0.018066406-0.045410156j)
(-0.044921875+0.019042969j);(0.022949219-0.04296875j)
(-0.043945312+0.011230469j);(0.024414062-0.04248047j)
(-0.04345703+0.012207031j);(0.025878906-0.04296875j)
(-0.048339844+0.0078125j);(0.024414062-0.041015625j)
(-0.041015625+0.009765625j);(0.029296875-0.043945312j)
(-0.05078125+0.0043945312j);(0.026855469-0.036132812j)
(-0.041503906+0.005859375j);(0.036621094-0.043945312j)
(-0.05029297-0.0024414062j);(0.026367188-0.03466797j)
(-0.04296875+0.005859375j);(0.03857422-0.040527344j)
(-0.048828125-0.0048828125j);(0.033203125-0.034179688j)
(-0.044921875+0j);(0.03466797-0.036132812j)
(-0.04736328-0.0107421875j);(0.040527344-0.032714844j)
(-0.04638672-0.0048828125j);(0.036132812-0.033691406j)
(-0.044433594-0.010253906j);(0.040039062-0.030273438j)
(-0.04736328-0.015136719j);(0.041992188-0.030273438j)
(-0.044921875-0.009765625j);(0.04296875-0.028808594j)
(-0.045898438-0.020019531j);(0.040039062-0.024902344j)
(-0.041992188-0.016113281j);(0.047851562-0.028320312j)
(-0.04638672-0.019042969j);(0.03857422-0.021972656j)
(-0.041015625-0.0234375j);(0.049804688-0.024414062j)
(-0.04248047-0.022949219j);(0.041992188-0.019042969j)
(-0.04296875-0.022949219j);(0.048828125-0.023925781j)
(-0.037109375-0.03173828j);(0.045410156-0.012207031j)
